"Freq [GHz]","re(S(1 2)) []","im(S(1 2)) []"
7.5043,-0.232574298866848,-0.932890596249574
7.5044,-0.232806336053287,-0.932834218466106
7.5045,-0.233038351227075,-0.932777784591852
7.5046,-0.233270344376364,-0.932721294636124
7.5047,-0.233502315489311,-0.932664748608237
7.5048,-0.233734264554078,-0.932608146517505
7.5049,-0.233966191558827,-0.932551488373244
7.505,-0.234198096491725,-0.932494774184776
7.5051,-0.234429979340942,-0.932438003961418
7.5052,-0.234661840094653,-0.932381177712492
7.5053,-0.234893678741033,-0.93232429544732
7.5054,-0.235125495268265,-0.932267357175227
7.5055,-0.235357289664532,-0.932210362905539
7.5056,-0.235589061918021,-0.932153312647581
7.5057,-0.235820812016924,-0.932096206410683
7.5058,-0.236052539949433,-0.932039044204175
7.5059,-0.236284245703745,-0.931981826037388
7.506,-0.236515929268066,-0.931924551919654
7.5061,-0.236747590630596,-0.931867221860307
7.5062,-0.236979229779544,-0.931809835868684
7.5063,-0.237210846703121,-0.931752393954122
7.5064,-0.237442441389543,-0.931694896125958
7.5065,-0.237674013827025,-0.931637342393533
7.5066,-0.237905564003791,-0.931579732766187
7.5067,-0.238137091908064,-0.931522067253265
7.5068,-0.238368597528073,-0.93146434586411
7.5069,-0.238600080852049,-0.931406568608067
7.507,-0.238831541868228,-0.931348735494484
7.5071,-0.239062980564847,-0.931290846532709
7.5072,-0.239294396930147,-0.931232901732092
7.5073,-0.239525790952376,-0.931174901101985
7.5074,-0.239757162619781,-0.931116844651739
7.5075,-0.23998851192061,-0.93105873239071
7.5076,-0.240219838843126,-0.931000564328252
7.5077,-0.240451143375583,-0.930942340473723
7.5078,-0.240682425506243,-0.930884060836482
7.5079,-0.240913685223373,-0.930825725425887
7.508,-0.241144922515241,-0.930767334251301
7.5081,-0.241376137370119,-0.930708887322085
7.5082,-0.241607329776284,-0.930650384647605
7.5083,-0.241838499722013,-0.930591826237225
7.5084,-0.242069647195589,-0.930533212100313
7.5085,-0.242300772185299,-0.930474542246237
7.5086,-0.242531874679431,-0.930415816684366
7.5087,-0.242762954666279,-0.930357035424071
7.5088,-0.242994012134137,-0.930298198474727
7.5089,-0.243225047071306,-0.930239305845705
7.509,-0.243456059466088,-0.930180357546382
7.5091,-0.243687049306788,-0.930121353586134
7.5092,-0.243918016581716,-0.930062293974341
7.5093,-0.244148961279187,-0.93000317872038
7.5094,-0.244379883387517,-0.929944007833633
7.5095,-0.244610782895023,-0.929884781323484
7.5096,-0.244841659790031,-0.929825499199315
7.5097,-0.245072514060866,-0.92976616147051
7.5098,-0.245303345695858,-0.929706768146459
7.5099,-0.245534154683339,-0.929647319236548
7.51,-0.245764941011648,-0.929587814750167
7.5101,-0.245995704669124,-0.929528254696706
7.5102,-0.24622644564411,-0.929468639085558
7.5103,-0.246457163924953,-0.929408967926117
7.5104,-0.246687859500004,-0.929349241227777
7.5105,-0.246918532357615,-0.929289458999934
7.5106,-0.247149182486143,-0.929229621251988
7.5107,-0.24737980987395,-0.929169727993336
7.5108,-0.247610414509396,-0.92910977923338
7.5109,-0.247840996380853,-0.929049774981521
7.511,-0.248071555476689,-0.928989715247163
7.5111,-0.248302091785279,-0.92892960003971
7.5112,-0.248532605294998,-0.928869429368569
7.5113,-0.248763095994228,-0.928809203243148
7.5114,-0.248993563871354,-0.928748921672854
7.5115,-0.249224008914761,-0.928688584667099
7.5116,-0.249454431112841,-0.928628192235294
7.5117,-0.249684830453988,-0.928567744386852
7.5118,-0.2499152069266,-0.928507241131188
7.5119,-0.250145560519077,-0.928446682477718
7.512,-0.250375891219824,-0.928386068435858
7.5121,-0.250606199017248,-0.928325399015028
7.5122,-0.250836483899761,-0.928264674224647
7.5123,-0.251066745855776,-0.928203894074137
7.5124,-0.251296984873709,-0.928143058572921
7.5125,-0.251527200941987,-0.928082167730422
7.5126,-0.25175739404903,-0.928021221556067
7.5127,-0.251987564183268,-0.927960220059281
7.5128,-0.252217711333131,-0.927899163249494
7.5129,-0.252447835487053,-0.927838051136135
7.513,-0.252677936633474,-0.927776883728634
7.5131,-0.252908014760835,-0.927715661036425
7.5132,-0.253138069857579,-0.927654383068941
7.5133,-0.253368101912156,-0.927593049835618
7.5134,-0.253598110913017,-0.927531661345891
7.5135,-0.253828096848617,-0.927470217609198
7.5136,-0.254058059707413,-0.92740871863498
